subject,date,eid,probe,pid,allen_acronym,region,neuron_id,mod_index,modulated,p_value,firing_rate,latency_peak,latency_peak_onset,latenzy
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,ACB,ACB,54,-0.1696,False,0.0766580754335555,4.584469687772278,0.970174425608775,0.1623926474002246,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,ACB,ACB,116,-0.04,False,0.9530966234899156,0.4933827492465601,,,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,ACB,ACB,144,-0.0676,True,0.0078789366698553,6.393864148848749,0.8633953089248507,0.0020062717649125,0.557728077030049
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,ACB,ACB,158,-0.1076,True,0.0271605316458148,1.5138838203377358,0.4858823504544034,0.0579852865949988,0.610040525238901
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,ACB,ACB,175,-0.2296,True,0.0001114995751294,3.88542969787988,0.6620226813734007,0.0100399463532312,0.8798310840298882
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,ACB,ACB,179,-0.0135999999999999,False,0.311063520211523,1.4256523227735909,0.9169191878377204,0.0086854570412242,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,aco,root,241,0.2656,False,0.87186674675017,13.05761287848194,0.6518111063362539,0.071094580576414,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,aco,root,305,0.0711999999999999,False,0.0989212866764891,2.5421700235669245,0.5585353979051888,0.3956746740675498,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,ACB,ACB,400,0.0,False,0.8753262592175759,0.7603479054792485,,,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,ACB,ACB,406,0.02,False,0.2443043347239983,0.6231349515467732,0.6509240859162446,0.6509240859162446,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,ACB,ACB,418,0.0543999999999997,False,0.4709061443563638,0.5738291146726923,0.8313312702715621,0.020962012294774,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,ACB,ACB,426,-0.0427999999999999,False,0.4501956562550585,0.8638252868136684,0.73751516096263,0.0664852332290593,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,CP,CP,466,-0.0319999999999999,False,0.3088543107363499,1.5142082008434865,0.954071451683717,0.0675518957652911,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,CP,CP,477,0.026,False,0.0836587493164136,0.8086806008360778,0.5385409939154897,0.2665216920975126,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,CP,CP,482,-0.0024,False,0.913916308740324,0.3892566069006392,0.7494700513165071,0.621129572570112,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,CP,CP,485,-0.0459999999999999,False,0.2333424274243114,1.6854811078797676,0.3278213804816801,0.3162544695256883,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,CP,CP,502,0.0852000000000001,False,0.7344010226245413,3.428053184771629,0.3188146351552632,0.2444421102244405,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,CP,CP,510,0.1164,False,0.1189715261389907,8.44167828165186,0.6750088978290023,0.5770474897634585,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,CP,CP,529,0.0939999999999998,False,0.4245155743833371,1.1898276950929536,0.8745463511290836,0.7066863311808902,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,CP,CP,542,0.2731999999999999,True,0.0455203981519627,5.764890348198466,0.8087417151584759,0.057256557199139,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,CP,CP,543,0.2016,False,0.90981853760135,2.8003769061443484,0.0522729231807943,0.0022062709925876,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,CP,CP,557,0.1055999999999999,False,0.1958575394134912,1.1379268141728685,0.751539986943385,0.4702945435001311,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,CP,CP,572,0.0544,False,0.9794473508321324,1.1077594271380689,0.9797745871013605,0.895180713000741,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,CP,CP,606,0.0,False,1.0,0.2569093605544219,,,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,CP,CP,631,0.1996,False,0.2102839387258193,0.3360582039575518,0.6047091690782054,0.5281178298085933,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,CP,CP,635,0.2819999999999998,True,5.510256879581732e-05,3.5412619812785646,0.4252050144879149,0.4222119948683485,0.8638029427744414
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,CP,CP,638,0.0,False,1.0,1.1891789340814527,,,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,CP,CP,643,0.06,True,0.030776446468488,1.4710655935786656,0.617543088039497,0.6007738938245666,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,CP,CP,653,0.4843999999999999,True,0.0001375249686255,2.240496153218929,0.9122642928182358,0.4842473271918379,0.468014056786501
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,CP,CP,678,-0.0231999999999998,False,0.6707263697736696,6.579085417632303,0.8200528941404173,0.3046889358224689,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,CP,CP,736,-0.0676,False,0.4625043220671252,4.53743451443845,0.0022114937964943,0.0019682674405885,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,CP,CP,741,0.0,False,0.5359955517783467,5.019139565477992,,,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,CP,CP,743,-0.0199999999999999,True,0.0144454267263005,0.4346698777057137,,,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,CP,CP,780,-0.2271999999999999,True,0.0395261648588995,1.9368759998364304,0.849312578689819,0.1076060426619278,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,fa,root,835,0.1151999999999999,False,0.4333503847068177,2.851629026052932,0.5521492088191735,0.2212031385740829,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,fa,root,945,0.0307999999999999,True,0.0213313973525425,3.0939412638485804,0.355602834841477,0.0886897692486172,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,fa,root,1025,-0.1503999999999998,True,0.019920845550985,1.9615289182734708,0.528487350104001,0.0138521221750806,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,fa,root,1070,-0.1916,False,0.5423438113771726,1.3091997212091495,0.5099398002494695,0.0132721719992332,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,fa,root,1200,0.0047999999999999,False,0.6834681743507536,1.0464515115512183,0.092829829398795,0.0129388399195136,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,fa,root,1221,0.4223999999999999,True,1.5681096154906982e-06,4.797587680050378,0.0765224236617996,0.0009220056172125,0.4522829271032833
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,fa,root,1222,-0.0096,True,0.0046816713478249,0.3889322263948886,0.3924281788458756,0.3174313638311332,0.530829919325015
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,cing,root,1229,0.1768,False,0.077523859661213,2.1801613791493297,0.5201511939723105,0.515653095124776,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,cing,root,1243,0.0427999999999999,False,0.1656937576801158,2.2054630585978714,0.3799875626261269,0.3794358699548752,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,cing,root,1266,0.0204000000000001,False,0.2206253668353938,0.6276762786272807,0.4009114170225984,0.3573506111050619,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,MOs6b,MOs,1289,-0.1107999999999999,False,0.3492094982857852,3.616842639118439,0.616307365404964,0.0809171370281092,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,MOs6a,MOs,1296,0.0,False,0.3194540446488169,0.4534839470392446,,,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,MOs6a,MOs,1300,-0.0207999999999999,False,0.8409963624189112,0.2423122377956478,,,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,MOs6a,MOs,1304,-0.0387999999999999,False,0.1845164166968571,0.2776697129224559,0.9016716501185442,0.0525852870523522,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,MOs6a,MOs,1310,-0.2156,True,0.0029071739898871,1.6361752710056867,0.6475532207415426,0.000133039246748,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,MOs6a,MOs,1313,0.0484,True,0.0076813556405883,1.211236808472489,0.4672998070780068,0.0091349064822452,0.7011807413700808
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,MOs6a,MOs,1319,0.1072000000000001,False,0.7350540030374773,0.4249384625331978,0.6188508120118286,0.5633531863256849,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,MOs6a,MOs,1341,0.1983999999999999,True,0.039949139982063,2.297262741725272,0.6199071543707078,0.1386849536573891,0.9183789776218418
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,MOs6a,MOs,1346,-0.0552,True,1.3903958143823836e-05,6.570002763471288,0.4759712856204032,0.0949950665709025,0.6596304971068321
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,MOs6a,MOs,1353,-0.1535999999999999,True,0.0006711142510745,3.0186849865144567,0.4668231366523514,0.2635521869920012,0.5795396281771446
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,MOs6a,MOs,1354,0.0276,True,0.0002420332874398,2.5940709044870096,0.6133473508308498,0.0858012776260466,0.6950068686746818
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,MOs6a,MOs,1376,-0.0627999999999999,False,0.2089907010640037,0.9322695735270308,0.0661142780325008,0.0412082419736066,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,MOs6a,MOs,1381,-0.1331999999999999,False,0.2128560202682626,1.2676790164730816,0.0902579263477036,0.0834316373554884,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,MOs6a,MOs,1406,-0.0183999999999999,False,0.3049435713087991,2.7718314216383013,0.8480009658496215,0.0004416224588794,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,MOs6a,MOs,1425,-0.0964,True,0.004280076131653,2.775399607201557,0.2862255004356484,0.2840722245656479,0.6838474750265959
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,MOs6a,MOs,1435,0.2927999999999999,False,0.063762150142322,6.038991875557666,0.546550040989473,0.4350066472929939,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,MOs6a,MOs,1441,-0.1332000000000001,True,0.0104928198752278,0.9692489511825916,0.6196945101228835,0.0172478007957579,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,MOs6a,MOs,1442,0.0056,False,0.3671647119652264,0.4083950567399206,0.4870640420718928,0.4781945128594316,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,MOs6a,MOs,1456,-0.1892,False,0.2052090975104762,5.724018404473899,0.4481049263152954,0.0552720140427709,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,MOs6a,MOs,1464,-0.1088,True,0.0390422600924571,1.5674066037865737,0.2185321973918235,0.0033932640949387,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,MOs6a,MOs,1467,-0.2675999999999999,True,0.0004941073026664,14.306802206127244,0.0351905739119047,0.0311323872061848,0.7458367320251682
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,MOs6a,MOs,1471,0.0263999999999999,False,0.1089734900027965,0.8622033842849157,0.7732720359573477,0.0290750930184913,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,MOs6a,MOs,1472,0.0096,True,0.0415091707419147,4.300636745240562,0.6213257833052239,0.1366615761814955,0.8184960521232352
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,MOs5,MOs,1479,-0.294,False,0.6271264608872192,1.7604130047081403,0.1165170019019683,0.0930611621840853,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,MOs5,MOs,1484,0.3399999999999998,False,0.1688774968342948,11.574869586696256,0.4549303107621654,0.1092546696603449,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,MOs5,MOs,1487,-0.0736000000000001,False,0.5968071172840916,1.8230184423179927,0.5480687709666086,9.485550140198028e-05,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,MOs5,MOs,1495,-0.1072,True,0.0295501808864822,3.63565670845197,0.2780697054582788,0.2608408622421621,0.9240647130702655
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,aco,root,1504,0.1068,False,0.3880457414078737,11.22388987947418,0.8283809665520039,0.0876903733551444,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,ACB,ACB,1506,-0.2339999999999999,False,0.2307315714248067,3.518230965370277,0.0358415956301314,0.0322839882912262,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,CP,CP,1507,0.0,False,0.1234682803586724,0.8939926738484679,0.2221127692380378,0.0014630285760404,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,CP,CP,1509,-0.0807999999999999,False,0.2182584188801086,1.6627744724772302,0.1566220257936947,0.1429217895455963,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,CP,CP,1527,-0.02,False,0.9479025077390472,0.3607111223945923,,,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,CP,CP,1534,0.2132,True,0.0067869673945081,0.8982096204232248,0.4398698813804458,0.4225699473348641,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,CP,CP,1536,-0.2052,True,1.4407595136933793e-06,1.4516027632336337,0.0427885120457176,0.0425676324942969,0.5084783276905682
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,fa,root,1539,0.1196000000000001,True,1.829821802146192e-05,3.0537180811355142,0.2609614121890899,0.2556365476160636,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,fa,root,1543,-0.0091999999999999,False,0.8034350865840898,1.2800054756916015,0.3887747003166169,0.0873425136984451,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,fa,root,1550,-0.0707999999999999,False,0.4556117808248152,1.1593359275524036,0.0523342616567106,0.0498250285395442,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,fa,root,1560,0.0727999999999999,False,0.760843640754413,4.860193117660231,0.5758367229271357,0.4048329080452504,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,MOs6a,MOs,1579,-0.0227999999999999,False,0.0794607736960119,0.770403701157515,0.8862688887617765,0.6507496375079427,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,MOs6a,MOs,1584,0.0184000000000001,False,0.1355789095779606,0.3224342227160294,0.5051065830633661,0.4258877451486569,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,MOs6a,MOs,1587,-0.0767999999999998,False,0.259306122740023,0.7045544584901569,0.8419417838030085,0.5706535106041883,
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,MOs6a,MOs,1595,-0.2239999999999999,False,0.0569843826772126,3.567212421738607,0.1020725519925918,0.0683013450823182,
ZFM-03329,2022-03-01,87287aa4-727e-48c0-8b7d-92c9f35cc257,probe00,05d69b47-9e2c-4da3-ab45-be889e1fbef7,BLAa,BLA,1,0.0911999999999999,True,0.0021698735263148,4.355381123712702,0.512036825434734,0.2520318129377301,0.6546410882560849
ZFM-03329,2022-03-01,87287aa4-727e-48c0-8b7d-92c9f35cc257,probe00,05d69b47-9e2c-4da3-ab45-be889e1fbef7,BLAa,BLA,13,-0.0163999999999999,False,0.1964160561231659,3.1988608808497103,0.1556289292047949,0.0492259593970629,
ZFM-03329,2022-03-01,87287aa4-727e-48c0-8b7d-92c9f35cc257,probe00,05d69b47-9e2c-4da3-ab45-be889e1fbef7,BLAa,BLA,16,-0.0303999999999999,True,3.403592663375754e-05,9.901997600445158,0.7505158274875612,0.7500694100531291,0.8380552288494982
ZFM-03329,2022-03-01,87287aa4-727e-48c0-8b7d-92c9f35cc257,probe00,05d69b47-9e2c-4da3-ab45-be889e1fbef7,BLAa,BLA,18,-0.4095999999999999,True,0.0006810016585455,3.045178258357967,0.4748671982056294,0.1383339220669768,0.12075912184036497
ZFM-03329,2022-03-01,87287aa4-727e-48c0-8b7d-92c9f35cc257,probe00,05d69b47-9e2c-4da3-ab45-be889e1fbef7,BLAa,BLA,20,-0.036,False,0.7228455301819474,1.002837620371248,0.821501755191548,0.7276097974345248,
ZFM-03329,2022-03-01,87287aa4-727e-48c0-8b7d-92c9f35cc257,probe00,05d69b47-9e2c-4da3-ab45-be889e1fbef7,BLAa,BLA,24,-0.008,True,0.0284733122367808,16.157348404760096,0.616468199607425,0.1189073275477312,0.6722937390727566
ZFM-03329,2022-03-01,87287aa4-727e-48c0-8b7d-92c9f35cc257,probe00,05d69b47-9e2c-4da3-ab45-be889e1fbef7,BLAa,BLA,26,-0.0007999999999999,True,0.0256863753536628,4.0211019169222855,0.5537358758915616,0.2917379854875435,0.6548754357486359
ZFM-03329,2022-03-01,87287aa4-727e-48c0-8b7d-92c9f35cc257,probe00,05d69b47-9e2c-4da3-ab45-be889e1fbef7,BLAa,BLA,34,-0.2424,True,0.0436980957964914,4.7801536513612,0.178929932952542,0.1774570891484472,
ZFM-03329,2022-03-01,87287aa4-727e-48c0-8b7d-92c9f35cc257,probe00,05d69b47-9e2c-4da3-ab45-be889e1fbef7,ec,root,39,-0.0784,True,0.0104848345493943,1.803625498481778,0.7485935818658618,0.1424612745659033,0.3811167489411673
ZFM-03329,2022-03-01,87287aa4-727e-48c0-8b7d-92c9f35cc257,probe00,05d69b47-9e2c-4da3-ab45-be889e1fbef7,CEAc,CEA,47,0.0355999999999998,False,0.3577667722367368,0.7056138682425468,0.3409430372503266,0.298463294720932,
ZFM-03329,2022-03-01,87287aa4-727e-48c0-8b7d-92c9f35cc257,probe00,05d69b47-9e2c-4da3-ab45-be889e1fbef7,CEAc,CEA,48,-0.1243999999999999,False,0.2012535488405316,0.4356941353382668,0.7270633966768401,0.0066005571416098,
ZFM-03329,2022-03-01,87287aa4-727e-48c0-8b7d-92c9f35cc257,probe00,05d69b47-9e2c-4da3-ab45-be889e1fbef7,CEAc,CEA,55,-0.0295999999999999,False,0.3540545809558343,2.164428609661632,0.7593694122961097,0.0015630807233719,
