measure,condition,time,value,baseline_subtracted,eid,expression,n_events,subject
pupil,stim,-0.45,36.44044698748651,3.535623322860772,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
pupil,stim,-0.35000000000000003,34.52214645489331,1.617322790267572,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
pupil,stim,-0.25000000000000006,32.70302670731424,-0.20179695731150105,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
pupil,stim,-0.15000000000000008,31.040123700733535,-1.8646999638922033,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
pupil,stim,-0.050000000000000086,29.818374472701134,-3.086449191924604,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
pupil,stim,0.04999999999999989,28.51400344652009,-4.390820218105649,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
pupil,stim,0.14999999999999986,27.326039725394953,-5.578783939230785,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
pupil,stim,0.24999999999999983,26.834844897592465,-6.069978767033273,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
pupil,stim,0.3499999999999998,27.322461137736855,-5.582362526888883,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
pupil,stim,0.4499999999999998,29.325899088846214,-3.5789245757795243,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
pupil,stim,0.5499999999999998,32.02559833329731,-0.8792253313284277,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
pupil,stim,0.6499999999999998,34.40649768744136,1.501674022815621,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
pupil,stim,0.7499999999999998,36.703305683895806,3.798482019270068,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
pupil,stim,0.8499999999999998,38.7215745320257,5.816750867399961,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
pupil,stim,0.9499999999999997,41.23023727090595,8.325413606280215,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
pupil,stim,1.0499999999999996,43.43310485551357,10.528281190887832,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
pupil,stim,1.1499999999999997,44.75976643297579,11.85494276835005,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
pupil,stim,1.2499999999999998,45.44971177650408,12.544888111878343,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
pupil,stim,1.3499999999999996,46.015863132034,13.111039467408261,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
pupil,stim,1.4499999999999995,46.52510937230068,13.620285707674945,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
pupil,stim,1.5499999999999996,47.16966099713516,14.264837332509423,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
pupil,stim,1.6499999999999997,47.36483590595923,14.460012241333494,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
pupil,stim,1.7499999999999996,47.33589292877042,14.431069264144682,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
