measure,condition,time,value,baseline_subtracted,eid,expression,n_events,subject
whisking,stim,-0.45,119.46154405073295,-40.771186780022845,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
whisking,stim,-0.35000000000000003,114.18687341959473,-46.045857411161066,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
whisking,stim,-0.25000000000000006,136.86812560701776,-23.36460522373804,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
whisking,stim,-0.15000000000000008,179.10055003438916,18.86781920363336,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
whisking,stim,-0.050000000000000086,251.54656104204443,91.31383021128863,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
whisking,stim,0.04999999999999989,385.61559145538246,225.38286062462666,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
whisking,stim,0.14999999999999986,516.8377329084152,356.6050020776594,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
whisking,stim,0.24999999999999983,590.1998980464074,429.96716721565156,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
whisking,stim,0.3499999999999998,599.451565519581,439.21883468882515,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
whisking,stim,0.4499999999999998,605.079483205553,444.8467523747971,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
whisking,stim,0.5499999999999998,636.1293019566494,475.8965711258936,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
whisking,stim,0.6499999999999998,662.7546297388467,502.52189890809086,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
whisking,stim,0.7499999999999998,678.3552090573971,518.1224782266413,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
whisking,stim,0.8499999999999998,686.1929044708635,525.9601736401077,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
whisking,stim,0.9499999999999997,694.3198062810455,534.0870754502897,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
whisking,stim,1.0499999999999996,702.2106154406107,541.9778846098549,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
whisking,stim,1.1499999999999997,703.3995809818827,543.1668501511268,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
whisking,stim,1.2499999999999998,696.8463035012921,536.6135726705363,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
whisking,stim,1.3499999999999996,690.8156678502947,530.5829370195389,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
