subject,eid,file,n_neurons,n_sessions,n_shuffles,dot,null_mean,null_p97_5,p_perm,significant,z,add_angle,add_null_mean,add_p_perm,add_log2_mag_ratio
ZFM-04811,2ec37e95-4266-45ac-8a42-a1b2d5bc8b7e,05db6d4d-cfda-4686-b485-481423912b33.npy,38,1,500,0.8620425634941177,0.4888400618695747,0.8854976003867733,0.038,False,1.7236472275242758,0.21094007120737257,0.4778062729288089,0.884,-0.3938840896777087
ZFM-04122,c3ac69ad-851a-475c-8ba8-e44e9bd76dcb,09249aa4-006c-4aa9-b86a-215da86e1778.npy,29,1,500,0.7696672281689719,0.3954981525934958,0.881277388296844,0.132,False,1.4059719403754378,0.9420689940943469,0.38860383389407205,0.004,-0.5277634737738691
ZFM-04811,126cf6e8-fc3a-4fab-aad4-75772af0aa5d,0bdd7931-661f-452a-903f-6467a0661499.npy,68,1,500,0.7387756233993692,0.46647050720638517,0.8964859765680088,0.136,False,1.1642534116979852,0.5810481898524703,0.46392567142186275,0.364,-1.491836339281841
ZFM-04811,54014195-8d46-4a06-a291-4761d1c98f10,183b9938-9872-4ba5-afbd-372ac9adffc7.npy,238,1,500,0.5458755717368383,0.47885221465691635,0.903777906226664,0.442,False,0.27403473971313835,0.6050477636707922,0.4686855274560651,0.326,-1.7438285190239382
ZFM-05170,dfa58635-10b6-48d2-b77b-c4022ad0899a,227781ff-b3d4-4380-bfed-00942195ca62.npy,31,1,500,0.07219518310078071,0.3338299307835559,0.8784828054677346,0.828,False,-1.008392497887189,0.3568241901140541,0.3319995061696738,0.422,0.33158901141542374
ZFM-02601,40d3fa8b-3c47-4146-ad7a-c38dc7323e4e,24dccee6-db86-405d-b7ed-99bd28fe2cfd.npy,102,1,500,0.5213292190051702,0.4031998205931149,0.9084819875809232,0.346,False,0.4522858800815559,0.19415118418809568,0.5926889606734541,0.924,-1.823917755805584
ZFM-05170,2d93903c-d02b-4e0d-9218-681f2884598d,30d9dfa6-6b48-4b6a-9407-d930dfc93fb1.npy,82,1,500,0.7124087351426809,0.5121688441482067,0.9201463920874321,0.246,False,0.8542911732237609,0.5479564182279564,0.5273305390562544,0.472,-0.3763429387796958
ZFM-02600,c8f68575-e5a8-4960-a690-0149c5c4683f,382684fb-7088-4d4c-83ca-486e93c342f0.npy,27,1,500,0.3627582275296439,0.4714109799466851,0.8791727597881333,0.65,False,-0.46922293249064034,0.05928807040639816,0.45850646816619983,0.982,-1.4290930584180639
ZFM-05170,2d93903c-d02b-4e0d-9218-681f2884598d,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41.npy,33,1,500,0.3211733559831963,0.47757867293585465,0.8672903965972656,0.742,False,-0.7057579377000325,0.08007091213326453,0.49854218725373756,0.974,-1.2875191544178495
ZFM-02600,865496ae-3206-4974-af44-2cff2f7023f2,4850f644-8665-4e24-8c3c-bfa86de2c0f5.npy,66,1,500,0.27907210798199633,0.4760226997870008,0.8813747976572223,0.77,False,-0.854599539463465,0.8616587684746304,0.5100950498446667,0.054,0.5391956139402624
ZFM-02600,865496ae-3206-4974-af44-2cff2f7023f2,5712250f-7ea2-4f55-a7ac-15e855533225.npy,130,1,500,0.9582245249154059,0.5136850962756186,0.9140793330380005,0.002,True,1.7247302413800132,0.25037154309654536,0.5080450860893234,0.8,-0.1537392051841181
ZFM-04811,54014195-8d46-4a06-a291-4761d1c98f10,84017f2c-f02a-4887-870b-fdc53a8af398.npy,67,1,500,0.4407198111480668,0.47264000512190135,0.8848606572956565,0.56,False,-0.1384977445132182,0.3518453467350988,0.4777366997607485,0.698,0.16698647022317248
ZFM-04083,bd02e951-760a-448d-9c52-3f2990f9cf42,87ddbc18-7a81-49f7-a9fb-d0add506ee27.npy,67,1,500,0.7544692169664677,0.4080634556827473,0.8494864118294545,0.106,False,1.4417404777441085,0.8019152693495741,0.505311928907129,0.112,1.270293956843716
ZFM-04080,40b82e4e-4df4-4638-8c06-1d7ce0a58015,8f914cf1-3466-4fa4-a49d-a8c9182da684.npy,41,1,500,0.31868821579436524,0.45033387593852087,0.8661180190538733,0.69,False,-0.5840913577165506,0.37466582671906057,0.4649291388489798,0.654,1.2020494175967378
ZFM-05170,401dc15a-96d1-47a9-81f5-bebdfcd2465d,985707c8-27a6-4f20-b08b-8e60b3e8b00b.npy,125,1,500,0.6769185409690587,0.5229859465661071,0.9022611737304128,0.296,False,0.666845080721083,0.1845994549518274,0.5286781352082637,0.928,-0.3916270022037749
ZFM-02600,5b7e1b65-b844-4fe8-b19e-1c3175290a63,9ceaa3aa-6821-4676-b72f-7bd5878576cd.npy,28,1,500,0.18629378921848547,0.486288722540222,0.8686030911159397,0.902,False,-1.380191247255995,0.9624527753490786,0.49670110419110197,0.0,-1.4188909679161035
ZFM-04083,ae4a54de-43c9-4eff-8a7d-bd2d05c5f993,ac9a1b86-f421-4bef-a613-3579684f8720.npy,130,1,500,0.34721599376649304,0.4981164221221043,0.8917090617709351,0.708,False,-0.6329343222213764,0.2355140078163521,0.5060108820500775,0.842,1.5616591882947795
ZFM-04083,ae4a54de-43c9-4eff-8a7d-bd2d05c5f993,ad7dbfe0-6a72-49da-a6f6-9a10ab8230cb.npy,39,1,500,0.08263984107142217,0.4396128569321783,0.8463599851531646,0.962,False,-1.6698057679376024,0.17282200704810138,0.44615662512300175,0.86,2.077287775769202
ZFM-04811,126cf6e8-fc3a-4fab-aad4-75772af0aa5d,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd.npy,105,1,500,0.5525542087328636,0.4866533530263363,0.8970010538348843,0.418,False,0.2694115365475317,0.3226909022986811,0.5107525042330705,0.736,-0.29349336006476046
ZFM-02600,5b7e1b65-b844-4fe8-b19e-1c3175290a63,c5bf594f-245e-4ff2-b53e-516e9dd8f065.npy,133,1,500,0.9071443934913598,0.5016529562432895,0.9103028863171883,0.03,False,1.5590312562554327,0.07406474463026028,0.5359734415292421,0.972,0.206769418340458
ZFM-03330,5244890d-9353-4cfe-a18e-23481883e3a4,c6a3def0-9bce-4ef9-a57d-0dc2d4ae3d65.npy,88,1,500,0.7067775678399745,0.47704061142878595,0.8871249973765652,0.166,False,1.0527082727725714,0.753203576336103,0.4851833941520625,0.14,1.3830171564705978
ZFM-04080,d45f1a4a-7f14-4f84-a85c-34b21c6d498c,c941ee0a-5552-4a96-9464-f57c95c7837c.npy,59,1,500,0.47564784270418853,0.4403196469058248,0.8511509810558552,0.446,False,0.15457513154967167,0.06483160229484575,0.46510451371743267,0.988,0.7382528910242578
ZFM-04811,2ec37e95-4266-45ac-8a42-a1b2d5bc8b7e,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4.npy,34,1,500,0.6218054125273041,0.4040638341755091,0.8393829398180287,0.218,False,0.9243003431619765,0.6783657146704036,0.4682843602938443,0.206,-0.6457376326852489
ZFM-02600,c8f68575-e5a8-4960-a690-0149c5c4683f,eead949d-45e5-46ae-9b1d-646b280b4ecf.npy,161,1,500,0.2792094066825538,0.4986508311152226,0.9307770462559986,0.748,False,-0.8298128457707612,0.49244399772300324,0.48884536294106284,0.512,-1.1069676733082467
ZFM-04122,8a1808ee-44ab-4572-b7ac-921a1af98748,fd4d4d6b-f2e3-464d-8604-084265d32b76.npy,45,1,500,0.32286020049178654,0.49787585811406543,0.8818331132797901,0.744,False,-0.7436188174629905,0.24240542036238413,0.5389226640230586,0.88,-0.6839935734087622
ZFM-02600,0d24afce-9d3c-449e-ac9f-577eefefbd7e,ff02e36b-95e9-4985-a6e3-ba2977063496.npy,71,1,500,0.9676023607590033,0.5320473775759889,0.9288145721717525,0.002,True,1.810295457145198,0.1477638237140718,0.5203813249549187,0.916,0.5427610784498519
