subject,condition,n,w_stim,w_prev,w_wsls,w_bias,task_accuracy
ZFM-02600,no_stim,4240,-4.938979986257513,0.10279516648667977,-0.06269178848237336,0.012170073459160092,0.7591981132075472
ZFM-02600,stim,4519,-4.675859148140592,0.17987366129711255,-0.023305561810946018,-0.1806991525933138,0.751936269086081
ZFM-04080,no_stim,8073,-2.821808662832736,-0.02458864191131771,-0.005993990492828222,1.3722895321373836,0.679425244642636
ZFM-04080,stim,8649,-2.7364654130382835,-0.015332493696290984,-0.002629383922892788,1.3554497767260532,0.6721008209041508
ZFM-04083,no_stim,3980,-3.1565597414314284,0.03598788268049442,0.029339119754216457,1.5423485961493826,0.6618090452261306
ZFM-04083,stim,4201,-3.8062569602564333,0.12488644652905306,-0.06641360863640876,1.28559620398967,0.6807902880266603
ZFM-04122,no_stim,7799,-2.6846262293983107,0.02055149233354889,-0.012782052578528057,-0.045313442689985356,0.7188101038594692
ZFM-04122,stim,8321,-2.624812641533548,-0.04551529467037071,0.02214300555703902,-0.025982114752286584,0.7097704602812162
ZFM-04811,no_stim,3581,-2.7397403110418836,0.060577435945327496,0.011624402449981417,-0.6273693541515908,0.7213068975146607
ZFM-04811,stim,3815,-2.535127757841152,-0.029001067566409546,-0.06715453386494294,-0.4189197875938264,0.7119266055045872
ZFM-05170,no_stim,1656,-4.603439030536346,0.21490517277396418,0.04689544469451523,-0.1607293235339213,0.7318840579710145
ZFM-05170,stim,1578,-4.321500578603825,0.09910295763414582,0.05006060771979415,-0.33105039908549133,0.7420785804816223
